order_id,order_date,product,category,quantity,unit_price,total_amount,region,status,customer_id
ORD-00001,2024-03-30,Laptop,Electronics,5,1125.25,5626.24,West,Completed,CUST-0016
ORD-00002,2025-03-05,Phone,Electronics,5,387.36,1936.79,South,Pending,CUST-0302
ORD-00003,2024-12-10,Lamp,Home,2,222.85,445.71,North,Completed,CUST-0195
ORD-00004,2024-05-07,Tablet,Electronics,5,1278.87,6394.33,West,Completed,CUST-0283
ORD-00005,2024-08-21,Vase,Home,1,297.13,297.13,East,Completed,CUST-0438
ORD-00006,2024-08-02,T-Shirt,Clothing,3,98.88,296.64,East,Completed,CUST-0312
ORD-00007,2024-08-12,Shoes,Clothing,5,45.23,226.15,East,Completed,CUST-0118
ORD-00008,2024-08-05,Tablet,Electronics,3,631.69,1895.07,West,Pending,CUST-0453
ORD-00009,2025-03-14,Racket,Sports,5,86.2,430.98,West,Completed,CUST-0113
ORD-00010,2025-03-08,Shoes,Clothing,2,154.82,309.64,North,Pending,CUST-0196
ORD-00011,2024-09-30,Mat,Sports,1,207.28,207.28,East,Completed,CUST-0151
ORD-00012,2024-07-01,Racket,Sports,5,86.38,431.91,North,Completed,CUST-0431
ORD-00013,2024-11-27,Jeans,Clothing,1,44.89,44.89,West,Completed,CUST-0058
ORD-00014,2024-03-11,Table,Home,4,292.33,1169.33,South,Completed,CUST-0338
ORD-00015,2024-07-24,Mat,Sports,5,289.67,1448.33,East,Pending,CUST-0344
ORD-00016,2024-08-23,Rug,Home,1,138.99,138.99,South,Completed,CUST-0037
ORD-00017,2025-05-12,Phone,Electronics,3,147.73,443.19,South,Cancelled,CUST-0068
ORD-00018,2024-12-28,Racket,Sports,4,38.11,152.44,West,Pending,CUST-0240
ORD-00019,2024-09-11,Camera,Electronics,1,997.51,997.51,South,Completed,CUST-0275
ORD-00020,2024-04-10,Racket,Sports,4,277.75,1110.99,North,Cancelled,CUST-0429
ORD-00021,2025-02-14,Laptop,Electronics,2,1393.23,2786.46,North,Completed,CUST-0195
ORD-00022,2025-05-13,Headphones,Electronics,5,434.54,2172.72,South,Completed,CUST-0152
ORD-00023,2025-05-03,T-Shirt,Clothing,5,115.31,576.53,South,Completed,CUST-0492
ORD-00024,2024-09-09,Phone,Electronics,5,149.36,746.78,North,Cancelled,CUST-0042
ORD-00025,2024-09-01,Weights,Sports,3,69.24,207.71,East,Pending,CUST-0068
