date,ticker,company,sector,open,high,low,close,volume
2024-01-01,AAPL,Apple,Technology,179.68,179.9,178.32,179.27,56233759
2024-01-02,AAPL,Apple,Technology,182.85,185.14,182.61,184.14,38666854
2024-01-03,AAPL,Apple,Technology,176.3,178.19,173.3,177.03,31812358
2024-01-04,AAPL,Apple,Technology,178.77,179.51,176.59,177.49,56954739
2024-01-05,AAPL,Apple,Technology,176.88,176.96,176.06,178.55,60660383
2024-01-08,AAPL,Apple,Technology,172.33,172.63,170.53,173.73,47240007
2024-01-09,AAPL,Apple,Technology,175.4,175.59,174.62,176.41,6880728
2024-01-10,AAPL,Apple,Technology,175.21,175.96,173.61,175.5,52339029
2024-01-11,AAPL,Apple,Technology,174.69,176.33,172.83,174.52,68347612
2024-01-12,AAPL,Apple,Technology,178.9,181.89,177.47,179.15,65315931
2024-01-15,AAPL,Apple,Technology,176.08,177.76,175.66,175.5,31925609
2024-01-16,AAPL,Apple,Technology,174.03,175.95,170.58,171.95,66001835
2024-01-17,AAPL,Apple,Technology,170.26,171.26,169.09,168.68,47382576
2024-01-18,AAPL,Apple,Technology,176.89,178.38,174.59,176.18,63257375
2024-01-19,AAPL,Apple,Technology,172.53,172.66,172.21,175.11,31618725
2024-01-22,AAPL,Apple,Technology,173.21,173.24,172.45,173.18,16258807
2024-01-23,AAPL,Apple,Technology,175.59,175.96,173.92,175.11,53171633
2024-01-24,AAPL,Apple,Technology,179.24,179.7,178.29,178.4,31482987
2024-01-25,AAPL,Apple,Technology,177.21,177.84,173.74,177.43,35604152
2024-01-26,AAPL,Apple,Technology,172.56,175.97,171.81,171.78,39736550
2024-01-29,AAPL,Apple,Technology,164.21,164.82,160.72,163.08,11712347
2024-01-30,AAPL,Apple,Technology,163.02,163.71,162.91,164.08,26044976
2024-01-31,AAPL,Apple,Technology,159.02,159.7,157.74,159.08,60578645
2024-02-01,AAPL,Apple,Technology,160.09,160.51,159.81,159.76,40056845
2024-02-02,AAPL,Apple,Technology,159.22,160.27,158.79,159.26,75455342
2024-02-05,AAPL,Apple,Technology,163.61,163.66,163.51,163.09,42855110
2024-02-06,AAPL,Apple,Technology,160.46,161.11,159.33,161.44,75526030
2024-02-07,AAPL,Apple,Technology,159.4,160.87,158.11,161.25,40163568
2024-02-08,AAPL,Apple,Technology,154.28,154.59,152.83,153.22,61509108
2024-02-09,AAPL,Apple,Technology,157.33,157.77,154.33,157.4,51664675
2024-02-12,AAPL,Apple,Technology,157.9,159.78,156.8,157.86,59179423
2024-02-13,AAPL,Apple,Technology,154.84,155.17,153.64,154.05,47146395
2024-02-14,AAPL,Apple,Technology,154.88,155.26,152.95,155.02,55878967
2024-02-15,AAPL,Apple,Technology,149.79,149.94,147.77,150.01,36447593
2024-02-16,AAPL,Apple,Technology,146.33,147.51,144.12,145.57,46524540
2024-02-19,AAPL,Apple,Technology,145.5,146.21,144.58,145.25,34218089
2024-02-20,AAPL,Apple,Technology,141.41,141.76,140.22,140.69,95940858
2024-02-21,AAPL,Apple,Technology,144.14,145.99,143.93,143.61,45604348
2024-02-22,AAPL,Apple,Technology,145.24,146.44,144.08,145.85,56639465
2024-02-23,AAPL,Apple,Technology,148.54,149.39,148.48,149.45,24262859
2024-02-26,AAPL,Apple,Technology,149.01,151.9,146.51,148.8,36417751
2024-02-27,AAPL,Apple,Technology,156.54,157.79,155.49,156.52,74202072
2024-02-28,AAPL,Apple,Technology,158.24,158.44,157.24,159.12,48914098
2024-02-29,AAPL,Apple,Technology,162.63,164.09,160.72,160.84,18087921
2024-03-01,AAPL,Apple,Technology,161.23,162.24,160.42,161.7,45985735
2024-03-04,AAPL,Apple,Technology,160.07,160.56,158.29,159.85,35179815
2024-03-05,AAPL,Apple,Technology,165.0,165.29,163.18,164.31,59456917
2024-03-06,AAPL,Apple,Technology,165.31,166.8,163.97,166.17,39052347
2024-03-07,AAPL,Apple,Technology,167.94,168.36,166.87,167.21,73240000
2024-03-08,AAPL,Apple,Technology,161.26,162.53,158.78,160.26,34836597
2024-03-11,AAPL,Apple,Technology,158.55,160.97,156.58,157.53,75917444
2024-03-12,AAPL,Apple,Technology,158.65,161.96,158.6,159.96,29691062
2024-03-13,AAPL,Apple,Technology,160.96,162.15,160.94,160.92,20955320
2024-03-14,AAPL,Apple,Technology,163.59,164.5,162.91,163.89,37769101
2024-03-15,AAPL,Apple,Technology,160.69,161.0,157.47,159.66,81964211
2024-03-18,AAPL,Apple,Technology,166.1,166.42,165.11,166.28,60598317
2024-03-19,AAPL,Apple,Technology,170.21,170.45,168.45,170.87,57724984
2024-03-20,AAPL,Apple,Technology,172.29,173.74,171.81,172.01,44025218
2024-03-21,AAPL,Apple,Technology,175.6,175.89,175.25,175.14,48557476
2024-03-22,AAPL,Apple,Technology,178.64,179.66,177.88,177.86,68260883
2024-03-25,AAPL,Apple,Technology,180.27,180.51,180.18,180.5,62846122
2024-03-26,AAPL,Apple,Technology,182.58,185.97,181.17,182.72,29257349
2024-03-27,AAPL,Apple,Technology,182.15,183.34,180.49,182.05,26325295
2024-03-28,AAPL,Apple,Technology,181.27,181.49,180.05,181.25,48931486
2024-03-29,AAPL,Apple,Technology,191.37,192.74,190.55,192.95,23719018
2024-04-01,AAPL,Apple,Technology,194.9,196.68,194.4,195.19,55761818
2024-04-02,AAPL,Apple,Technology,194.62,196.77,192.84,195.74,20516535
2024-04-03,AAPL,Apple,Technology,192.3,192.49,190.49,191.8,35325281
2024-04-04,AAPL,Apple,Technology,193.0,193.28,191.86,190.81,75066001
2024-04-05,AAPL,Apple,Technology,197.36,197.8,196.06,196.7,69462438
2024-04-08,AAPL,Apple,Technology,198.74,200.36,196.87,196.64,29192521
2024-04-09,AAPL,Apple,Technology,200.05,200.25,199.04,200.15,57742979
2024-04-10,AAPL,Apple,Technology,198.34,198.99,197.51,197.27,42970558
2024-04-11,AAPL,Apple,Technology,201.61,202.46,198.07,202.67,56705023
2024-04-12,AAPL,Apple,Technology,200.92,203.06,199.78,200.83,47569557
2024-04-15,AAPL,Apple,Technology,202.75,203.91,201.58,202.15,53877730
2024-04-16,AAPL,Apple,Technology,199.59,200.44,198.83,199.72,40224145
2024-04-17,AAPL,Apple,Technology,201.41,203.03,200.44,201.34,29216198
2024-04-18,AAPL,Apple,Technology,204.32,206.1,203.74,203.78,59923261
2024-04-19,AAPL,Apple,Technology,205.12,206.56,204.61,204.28,34404619
2024-04-22,AAPL,Apple,Technology,209.55,210.36,209.45,210.3,52290276
2024-04-23,AAPL,Apple,Technology,207.24,207.28,203.26,206.22,41513797
2024-04-24,AAPL,Apple,Technology,203.09,203.26,200.83,203.44,50383625
2024-04-25,AAPL,Apple,Technology,204.01,205.39,201.17,204.55,66509814
2024-04-26,AAPL,Apple,Technology,207.98,210.03,205.92,206.75,336509
2024-04-29,AAPL,Apple,Technology,213.75,215.12,213.05,213.01,45193846
2024-04-30,AAPL,Apple,Technology,211.14,212.61,207.76,210.29,43955581
2024-05-01,AAPL,Apple,Technology,200.78,202.22,199.26,200.83,43302953
2024-05-02,AAPL,Apple,Technology,197.83,198.41,197.25,197.58,57575872
2024-05-03,AAPL,Apple,Technology,197.85,198.11,195.88,199.49,46852649
2024-05-06,AAPL,Apple,Technology,199.23,201.97,197.92,198.73,19979309
2024-05-07,AAPL,Apple,Technology,198.44,199.17,198.28,196.31,56752505
2024-05-08,AAPL,Apple,Technology,197.14,198.65,193.72,198.24,49034001
2024-05-09,AAPL,Apple,Technology,200.47,201.2,198.61,201.03,40016675
2024-05-10,AAPL,Apple,Technology,203.35,203.52,203.22,203.1,67372646
2024-05-13,AAPL,Apple,Technology,199.78,200.51,197.67,199.73,51046651
2024-05-14,AAPL,Apple,Technology,203.61,207.57,201.06,203.52,73433727
2024-05-15,AAPL,Apple,Technology,208.26,211.09,207.32,209.72,71233121
2024-05-16,AAPL,Apple,Technology,219.31,219.69,219.21,219.73,57071414
2024-05-17,AAPL,Apple,Technology,215.89,216.82,213.02,215.37,21394673
2024-05-20,AAPL,Apple,Technology,219.02,223.13,216.32,217.89,36523608
2024-05-21,AAPL,Apple,Technology,217.27,221.22,215.96,217.01,31008875
2024-05-22,AAPL,Apple,Technology,220.78,222.13,220.21,219.75,51873265
2024-05-23,AAPL,Apple,Technology,217.86,218.23,212.16,217.06,52241654
2024-05-24,AAPL,Apple,Technology,218.21,219.04,216.33,216.88,56496667
2024-05-27,AAPL,Apple,Technology,224.61,226.5,223.51,223.89,51549026
2024-05-28,AAPL,Apple,Technology,224.48,225.34,218.28,223.33,15493690
2024-05-29,AAPL,Apple,Technology,229.24,232.31,228.7,227.56,63020425
2024-05-30,AAPL,Apple,Technology,233.57,234.16,232.9,235.7,22407082
2024-05-31,AAPL,Apple,Technology,229.69,232.69,224.05,230.35,43218040
2024-06-03,AAPL,Apple,Technology,232.7,234.9,230.36,235.03,16452356
2024-06-04,AAPL,Apple,Technology,232.38,234.18,232.3,232.54,51343803
2024-06-05,AAPL,Apple,Technology,226.08,226.86,223.15,225.86,63140894
2024-06-06,AAPL,Apple,Technology,221.45,225.02,219.45,222.44,21391461
2024-06-07,AAPL,Apple,Technology,229.93,230.52,227.71,230.11,20555414
2024-06-10,AAPL,Apple,Technology,228.63,231.17,227.6,227.23,71711382
2024-06-11,AAPL,Apple,Technology,235.02,235.55,233.48,235.84,44747836
2024-06-12,AAPL,Apple,Technology,229.94,231.63,229.17,229.02,16953823
2024-06-13,AAPL,Apple,Technology,234.88,235.96,233.4,236.06,54005950
2024-06-14,AAPL,Apple,Technology,240.53,242.0,237.98,242.45,28384750
2024-06-17,AAPL,Apple,Technology,237.16,240.32,232.87,238.39,58844518
2024-06-18,AAPL,Apple,Technology,230.7,233.67,228.96,231.1,19846822
2024-06-19,AAPL,Apple,Technology,221.42,221.61,219.12,219.97,65202546
2024-06-20,AAPL,Apple,Technology,224.52,224.97,219.62,224.77,48354740
2024-06-21,AAPL,Apple,Technology,221.73,221.81,220.49,220.2,74465190
2024-06-24,AAPL,Apple,Technology,226.99,229.71,220.62,226.4,54676094
2024-06-25,AAPL,Apple,Technology,222.14,225.38,218.84,221.58,5865935
2024-06-26,AAPL,Apple,Technology,224.78,228.61,222.91,224.11,76975398
2024-06-27,AAPL,Apple,Technology,227.13,230.65,226.5,226.92,23128835
2024-06-28,AAPL,Apple,Technology,228.51,230.0,226.63,226.16,49226771
